year,neighborhood,housing_units
2016,Nob Hill,384242
2016,Noe Valley,384242
2016,North Beach,384242
2016,Outer Mission,384242
2016,Outer Parkside,384242
2016,Outer Richmond ,384242
2016,Outer Sunset,384242
2016,Pacific Heights,384242
2016,Park North,384242
2016,Parnassus/Ashbury Heights,384242
2016,Potrero Hill,384242
2016,Presidio Heights,384242
2016,Russian Hill,384242
2016,South of Market,384242
2016,Sunnyside,384242
2016,Telegraph Hill,384242
2016,Twin Peaks,384242
2016,Van Ness/ Civic Center,384242
2016,Visitacion Valley,384242
2016,Westwood Park,384242
